,Memorization Robustness,Memorization Robustness,Memorization Robustness,Memorization Robustness,Memorization Robustness,Prompt Robustness,Prompt Robustness,Prompt Robustness,Prompt Robustness,Evaluation Design,Evaluation Design,Evaluator Design,Evaluator Design,Evaluator Design,Evaluator Design,Evaluator Design,Evaluator Design,Reproducibility,Reproducibility,Reproducibility,Reproducibility,Reproducibility,Reproducibility,Reproducibility,Reproducibility,Comparability,Comparability,Comparability,Comparability,Comparability,Validity,Validity,Validity,Validity,Validity,Validity,Validity,Validity,Reliability,Reliability,Reliability,Reliability,Reliability,Reliability
,Training cut-off date,Public/private data,Formulation,Dynamic Generation,Memorization Detection Techniques,Prompt Diversity,Analysis of Prompt Variations,Prompt Quality,Multi-prompt Evaluation Metrics,Evaluation Criteria Separation,Scoring Granularity,Evaluation Guidelines,Multi-Attribute Judgment Design,Handling Annotator Disagreement,Annotator Expertise,Consistency Checking,Calibration with Human Judgment,Availability of Evaluation Code,Versioning,Prompt Transparency,Data Accessibility,Reproducibility Instructions,Evaluation Metric Transparency,Baseline Model Inclusion,Scalability and Efficiency,Standardized implementations of tasks,Prompt Templating and Formatting,Cross-Model Consistency,Adaptability to Different Models,Cross-Platform Compatibility,Representative data,Proper elicitation,Metric consistency,Real World Task Design,Face Validity,Substantive Validity (Coverage),Discriminant Validity,Convergent Validity,Model Output Sharing,Hyperparameter Reporting,Statistical Rigor,Test-Retest Reliability (Metric Stability),Internal Consistency,Inter-Rater Reliability
CyberSecEval 1 Instruct & Autocomplete,2,1,2,4,1,1,N/A,1,N/A,3,2,N/A,N/A,N/A,N/A,N/A,N/A,4,4,5,4,4,4,5,4,3,4,4,5,5,4,1,1,4,4,4,4,N/A,1,3,N/A,N/A,N/A,N/A
CyberSecEval 1 Helpfulness,3,5,4,2,N/A,1,N/A,4,N/A,1,1,2,1,N/A,N/A,N/A,N/A,4,4,5,5,4,2,4,4,2,4,4,5,5,4,1,1,4,3,5,3,N/A,1,3,N/A,N/A,N/A,N/A
CyberSecEval 2 Prompt Injection,5,3,4,4,N/A,1,N/A,4,N/A,N/A,1,N/A,3,N/A,N/A,N/A,N/A,4,4,5,5,5,5,5,4,2,4,4,5,5,4,1,1,2,4,5,4,N/A,1,3,N/A,N/A,N/A,N/A
CyberSecEval 2 Vulnerability Exploitation,4,5,3,2,N/A,1,N/A,4,2,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,4,4,5,5,5,5,5,4,3,4,4,5,5,3,1,1,1,2,2,2,N/A,N/A,3,N/A,N/A,N/A,N/A
CyberSecEval 2 Code Interpreter Abuse,4,5,1,4,N/A,2,N/A,4,N/A,N/A,1,N/A,1,N/A,N/A,N/A,N/A,4,4,5,5,5,5,5,4,3,4,4,5,5,4,1,1,1,1,1,1,N/A,N/A,3,N/A,N/A,N/A,N/A
WMDP-Cyber,4,5,5,1,1,1,N/A,4,1,5,2,N/A,N/A,N/A,N/A,N/A,N/A,5,2,5,4,5,4,5,4,5,3,5,5,5,4,1,1,4,5,4,4,5,4,4,1,2,2,2
HarmBench-Cyber,4,4,5,1,3,1,N/A,4,1,4,1,4,N/A,4,3,4,4,5,4,5,5,5,5,5,3,5,2,4,4,4,4,5,3,4,5,4,4,4,3,5,1,2,2,3
SECURE,4,2,4,1,1,1,N/A,4,1,4,3,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,4,2,2,3,1,4,2,3,4,4,3,4,2,3,4,4,3,4,4,2,2,2,2,2,2
SEvenLLM-Bench,2,2,5,1,1,1,N/A,4,1,4,4,3,N/A,2,4,3,N/A,3,3,3,4,2,3,4,4,3,3,4,4,3,4,2,3,4,4,3,3,4,3,2,2,2,2,2
SecQA,3,5,4,1,1,1,N/A,4,1,2,2,2,N/A,2,2,N/A,N/A,2,3,2,5,2,2,3,3,4,2,4,5,3,3,4,1,4,4,4,4,3,2,1,1,2,2,2
CyberMetric,4,2,5,1,1,1,N/A,4,1,2,2,2,N/A,2,4,3,4,2,2,2,5,2,4,3,4,2,2,4,4,3,4,1,3,4,5,4,4,3,2,2,1,2,4,2
SecEval,1,2,5,1,1,1,N/A,4,1,4,4,4,3,5,4,N/A,N/A,5,2,5,5,3,4,1,4,2,3,4,5,4,4,2,4,4,5,3,3,4,4,4,2,1,1,5